REF_DATE,unemployment,gdp,cycle12,cycle14,vacancy
2006-01-01,6.7,1649021.0,0.9974687249856823,0.9937041681528589,
2006-02-01,6.6,1652615.0,0.9990590262021669,0.9951359925555666,
2006-03-01,6.5,1656380.0,1.000750464563053,0.9966684971490624,
2006-04-01,6.5,1656732.0,1.0003787737517933,0.9961472752082493,
2006-05-01,6.2,1657513.0,1.0002661336379106,0.9958862526720695,
2006-06-01,6.3,1654837.0,0.9980683773993151,0.9935530043497863,
2006-07-01,6.5,1657920.0,0.9993442989540564,0.9946828107811793,
2006-08-01,6.5,1659196.0,0.9995299543754532,0.9947341594996049,
2006-09-01,6.5,1656876.0,0.9975501890051574,0.9926399576739554,
2006-10-01,6.3,1659594.0,0.9986040448679221,0.9935764992221856,
2006-11-01,6.5,1663364.0,1.000289235706483,0.9951560334666649,
2006-12-01,6.3,1673956.0,1.0060725841149458,1.0008308395156371,
2007-01-01,6.4,1670535.0,1.0034321438493983,0.9981482882502003,
2007-02-01,6.3,1678760.0,1.0077861382156168,1.002450107628603,
2007-03-01,6.3,1682294.0,1.0093207066520815,1.0039783001124492,
2007-04-01,6.3,1684443.0,1.0100230351438841,1.0047137579246488,
2007-05-01,6.2,1691753.0,1.0138172577958704,1.0085640956004838,
2007-06-01,6.1,1696447.0,1.0160399532106377,1.010894268446011,
2007-07-01,6.0,1696013.0,1.0151899103054478,1.010213278111289,
2007-08-01,6.0,1700841.0,1.0174876040277843,1.0127132828260648,
2007-09-01,6.0,1697794.0,1.015072647750166,1.0105729702581991,
2007-10-01,6.0,1699351.0,1.0154091373156338,1.011222791706882,
2007-11-01,6.1,1700851.0,1.015707977762004,1.0118873058373408,
2007-12-01,6.2,1694291.0,1.0111919111481154,1.007805154038302,
2008-01-01,6.1,1701279.0,1.0147569388199922,1.011827666652238,
2008-02-01,6.1,1698189.0,1.0123037405615138,1.0098994876810703,
2008-03-01,6.2,1701248.0,1.0135091152435238,1.01166829466562,
2008-04-01,6.2,1704814.0,1.01500585853234,1.0137746978712932,
2008-05-01,6.2,1704784.0,1.0143506115427319,1.0137741722553226,
2008-06-01,6.1,1708170.0,1.015715339351337,1.0158308005769106,
2008-07-01,6.2,1715622.0,1.0194806493484116,1.0203247828671216,
2008-08-01,6.2,1714295.0,1.0180119917072348,1.0196090543857999,
2008-09-01,6.3,1714712.0,1.0175625902124295,1.0199324093548043,
2008-10-01,6.4,1712871.0,1.0157549892958733,1.0189037699840597,
2008-11-01,6.7,1695651.0,1.0048145938452997,1.0087054492678287,
2008-12-01,7.0,1672410.0,0.9903008614491431,0.9948907585331843,
2009-01-01,7.5,1664411.0,0.9848014264660331,0.9900960905429362,
2009-02-01,8.1,1655773.0,0.9789045253286287,0.98486170746478,
2009-03-01,8.3,1642352.0,0.9701615198746508,0.9767117747102977,
2009-04-01,8.4,1637034.0,0.9661836920962318,0.9732996735070107,
2009-05-01,8.6,1635329.0,0.9643096511365424,0.9719442107851682,
2009-06-01,8.8,1637232.0,0.9645294321714608,0.9726326193368839,
2009-07-01,8.8,1639863.0,0.9651408361173185,0.9736457868456798,
2009-08-01,8.8,1639145.0,0.9637445346408418,0.9725594966015602,
2009-09-01,8.5,1651417.0,0.9699425425797596,0.9790626273204753,
2009-10-01,8.5,1653106.0,0.9698794629193304,0.9791713036653797,
2009-11-01,8.6,1662710.0,0.9744160008102044,0.9838491515673592,
2009-12-01,8.6,1667429.0,0.976043453730687,0.9855172816093904,
2010-01-01,8.4,1677635.0,0.9808359458599256,0.9903111809949858,
2010-02-01,8.4,1686315.0,0.9846867236569445,0.9940875834867887,
2010-03-01,8.3,1694468.0,0.9881818954141142,0.9974423242179482,
2010-04-01,8.2,1692492.0,0.9857306595660228,0.9947380569354273,
2010-05-01,8.1,1700050.0,0.9887939250798765,0.9975467605175126,
2010-06-01,8.0,1704611.0,0.9900715454049879,0.9985062816948861,
2010-07-01,8.2,1707189.0,0.9901597791078471,0.9982247733686745,
2010-08-01,8.2,1712496.0,0.9917935814105393,0.9994651267154598,
2010-09-01,8.2,1712435.0,0.9902846569904787,0.997508301850929,
2010-10-01,8.1,1721370.0,0.9939421937394911,1.0007299695421044,
2010-11-01,7.8,1729551.0,0.9971224629094032,1.003448741469951,
2010-12-01,7.8,1741609.0,1.0024942646218413,1.008355039279664,
2011-01-01,7.8,1747291.0,1.004155719122802,1.0095172630040947,
2011-02-01,7.8,1744126.0,1.000707941383684,1.0055400475365577,
2011-03-01,7.8,1749485.0,1.002127616332607,1.0064550223884507,
2011-04-01,7.8,1749674.0,1.0005608208290915,1.0043745458440818,
2011-05-01,7.7,1745781.0,0.9966449378558795,0.9999458209430669,
2011-06-01,7.7,1753348.0,0.9992508836545663,1.002071105690872,
2011-07-01,7.4,1765251.0,1.004293260717921,1.0066488088250165,
2011-08-01,7.4,1774000.0,1.007506578208467,1.009404855212691,
2011-09-01,7.4,1778754.0,1.0084246521908262,1.0098773708870084,
2011-10-01,7.5,1778522.0,1.006499895921064,1.0075230116055596,
2011-11-01,7.6,1780501.0,1.0058142773964205,1.0064308176470838,
2011-12-01,7.5,1789093.0,1.0088444703747192,1.0090770881846356,
2012-01-01,7.7,1787647.0,1.006199070718308,1.00606776987985,
2012-02-01,7.6,1783169.0,1.0018462141439384,1.001374745083944,
2012-03-01,7.3,1787826.0,1.0026196190439562,1.0018270661197597,
2012-04-01,7.4,1794148.0,1.004310517295455,1.0032148624508037,
2012-05-01,7.5,1797125.0,1.004115420563083,1.0027368409233985,
2012-06-01,7.4,1798133.0,1.0028130372415363,1.001170910928212,
2012-07-01,7.3,1801749.0,1.002958219441796,1.0010666547433116,
2012-08-01,7.4,1799417.0,0.9997898351427222,0.9976706349606622,
2012-09-01,7.4,1799218.0,0.9978088341517278,0.9954740924245445,
2012-10-01,7.4,1798409.0,0.9954910488227307,0.992954675329807,
2012-11-01,7.3,1806944.0,0.9983388309404414,0.9955988576313476,
2012-12-01,7.2,1806713.0,0.9963369691979609,0.9934173698808804,
2013-01-01,7.1,1816978.0,1.0001159796595285,0.997010196598273,
2013-02-01,7.0,1822370.0,1.0012005849336478,0.9979271285920804,
2013-03-01,7.3,1828635.0,1.0027577424865721,0.999326126264667,
2013-04-01,7.2,1831835.0,1.0026302965598344,0.999058191061171,
2013-05-01,7.0,1836826.0,1.0034814946778987,0.9997781476343814,
2013-06-01,7.2,1830161.0,0.9979741872489192,0.9941772087099455,
2013-07-01,7.3,1840718.0,1.0018624132809955,0.9979506717801105,
2013-08-01,7.2,1848826.0,1.0044080886507079,1.0004018727549635,
2013-09-01,7.1,1855132.0,1.005970414111531,1.0018903938576424,
2013-10-01,7.2,1865193.0,1.0095635079368621,1.0054196472355723,
2013-11-01,7.1,1869835.0,1.0102205688705117,1.0060445781203249,
2013-12-01,7.4,1862159.0,1.0042379240183084,1.0000781532695908,
2014-01-01,7.2,1863035.0,1.002886892121596,0.9987455979522272,
2014-02-01,7.2,1872372.0,1.0060940108740892,1.0019745329285479,
2014-03-01,7.1,1877319.0,1.0069424050067315,1.00287750126011,
2014-04-01,7.1,1881089.0,1.007165627156327,1.0031815605351448,
2014-05-01,7.3,1892936.0,1.011713504513661,1.0078179107474297,
2014-06-01,7.1,1901582.0,1.014546559126063,1.0107716493123202,
2014-07-01,7.1,1904250.0,1.014195262598919,1.010577983612671,
2014-08-01,7.0,1900262.0,1.0103160566761886,1.006892339984411,
2014-09-01,7.0,1907872.0,1.0126157417367114,1.009387113649833,
2014-10-01,6.8,1913355.0,1.0137904179874875,1.0107822216719704,
2014-11-01,6.8,1914614.0,1.0127366467960481,1.0099742912580774,
2014-12-01,6.7,1917559.0,1.0125864259438138,1.0100830105816656,
2015-01-01,6.8,1909603.0,1.0066993843122878,1.004479817166716,
2015-02-01,6.9,1907049.0,1.0036840637467779,1.0017477734721831,
2015-03-01,6.8,1905988.0,1.001471802584098,0.9998195807708484,
2015-04-01,6.9,1905441.0,0.999544611658531,0.9981741746662462,2.8
2015-05-01,6.8,1904409.0,0.9973774270773945,0.9962829046323831,2.6
2015-06-01,6.9,1909593.0,0.9984747211449931,0.9976428851575923,2.6
2015-07-01,6.9,1914406.0,0.9993816705682923,0.9987997885865475,2.4
2015-08-01,7.0,1918458.0,0.9998955490862258,0.9995468657140645,2.4
2015-09-01,7.1,1910530.0,0.9941798416220241,0.9940442575502547,2.6
2015-10-01,7.0,1912301.0,0.9935269552070503,0.9935776001037274,2.3
2015-11-01,7.1,1916787.0,0.9942897438080384,0.9944984430835793,2.4
2015-12-01,7.2,1918886.0,0.9938188422875724,0.9941541053882084,2.4
2016-01-01,7.3,1930434.0,0.9982402501918795,0.9986701161018458,2.4
2016-02-01,7.3,1924854.0,0.9938091553306875,0.9942935213304329,2.3
2016-03-01,7.2,1917766.0,0.9886186705037718,0.9891182873318065,2.3
2016-04-01,7.3,1922103.0,0.9893288601119229,0.9898063842567585,2.2
2016-05-01,7.0,1911266.0,0.9822426281727343,0.9826532783646539,2.3
2016-06-01,6.9,1920490.0,0.9854761214319704,0.9857825777258336,2.4
